S.NO,BLOCK,ROOM NO,ROW-1,ROW-2,ROW-3,ROW-4,ROW-5,ROW-6,ROW-7,ROW-8,Total Count
1,APJ,APJ-1,10,11,11,10,x,x,x,x,42
2,APJ,APJ-2,10,11,11,10,x,x,x,x,42
3,APJ,APJ-3,10,11,11,10,x,x,x,x,42
4,APJ,APJ-4,10,11,11,10,x,x,x,x,42
5,APJ,APJ-5,10,11,11,10,x,x,x,x,42
6,APJ,APJ-6,10,11,11,10,x,x,x,x,42
7,APJ,APJ-7,10,11,11,10,x,x,x,x,42
8,APJ,APJ-8,10,11,11,10,x,x,x,x,42
9,APJ,APJ-9,10,11,11,10,x,x,x,x,42
10,APJ,APJ-10,10,11,11,10,x,x,x,x,42
11,APJ,APJ-11,15,15,15,15,15,15,x,x,90
12,S,S-01,8,8,8,8,x,x,x,x,32
13,S,S-02,8,8,8,8,x,x,x,x,32
14,S,S-03,8,8,8,8,x,x,x,x,32
15,S,S-04,8,8,8,8,x,x,x,x,32
16,8A,002/8A,8,8,7,7,x,x,x,x,30
17,8A,003/8A,8,8,7,7,x,x,x,x,30
18,8A,102/8A,8,8,7,7,x,x,x,x,30
19,8A,103/8A,8,8,7,7,x,x,x,x,30
20,8A,110/8A,5,5,5,5,5,5,5,5,40
21,5 G,13/5,8,8,8,8,X,X,X,X,32
22,5 G,14/5,8,8,8,8,x,x,x,x,32
23,5 G,15/5,10,10,9,9,x,x,x,x,38
24,5 G,17/5,8,8,8,8,X,X,X,X,32
25,5 G,22/5,6,6,6,x,x,x,x,x,18
26,5 G,24/5,8,8,8,8,x,x,x,x,32
27,5 G,27/5,8,8,8,8,X,X,X,X,32
28,5 G,28/5,8,8,8,8,x,x,x,x,32
29,5 1,116/5,7,7,6,6,X,X,x,x,26
30,5 1,119/5,7,7,6,6,X,X,x,x,26
31,5 1,138/5,4,4,4,4,x,x,x,x,16
32,5 2,215/5,8,8,8,8,8,8,X,X,48
33,5 2,216/5,8,8,8,8,9,9,x,x,50
34,5 2,217/5,8,8,8,8,9,9,x,x,50
35,5 2,219/5,8,8,8,8,X,X,X,X,32
36,5 2,221/5,8,8,8,8,9,9,x,x,50
37,5 2,222/5,8,8,8,8,9,9,x,x,50
38,5 3,301/5,8,8,8,8,8,X,X,X,40
39,5 3,305/5,8,8,8,8,8,8,x,x,48
40,5 3,306/5,8,8,8,8,9,9,x,x,50
41,5 3,307/5,8,8,8,8,9,9,x,x,50
42,5 3,311/5,8,8,8,8,9,9,x,x,50
43,5 3,312/5,8,8,8,8,9,9,x,x,50
44,6 1,113/6,8,8,8,8,X,X,X,X,32
45,6 1,114/6,8,8,8,8,x,x,x,x,32
46,6 1,117/6,8,8,8,8,X,X,X,X,32
47,6 1,127/6,8,8,8,8,x,x,x,x,32
48,6 3,313/6,8,8,8,8,9,9,x,x,50
49,6 3,314/6,8,8,8,8,9,9,x,x,50
50,4 G,13/4,8,8,8,8,X,X,X,X,32
51,4 G,14/4,8,8,8,8,x,x,x,x,32
52,4 G,17/4,8,8,8,8,x,x,x,x,32
53,4 G,24/4,8,8,8,8,X,X,X,X,32
54,MPC,MPC-01,10,10,10,10,10,x,x,x,50
55,MPC,MPC-02,8,8,8,8,x,x,x,x,32